File,SubjectCN,Category
Gajin Games.cer,Gaijin Network LTD,Gaming
FatShark.cer,Fatshark AB,Gaming
Zenimax.cer,Zenimax Media Inc.,Gaming
FunPlus International AG.cer,FunPlus International AG,Gaming
Plarium Global LTD - Raid shadow legends.cer,Plarium Global LTD,Gaming
Take Two Interactive (XCOM).cer,Take-Two Interactive Software,Gaming
Ubisoft Entertainment.cer,Ubisoft Entertainment SA,Gaming
Frogware games.cer,Frogwares Ireland ltd,Gaming
"BIG FISH GAMES, INC..cer",BIG FISH GAMES,Gaming
"Swift Media Entertainment, Inc. - Blitz GG.cer",Swift Media Entertainment,Gaming
TT Games Studios Limited.cer,TT Games Studios Limited,Gaming
CD PROJEKT SPÓŁKA AKCYJNA.cer,CD PROJEKT SPÓŁKA AKCYJNA,Gaming
Aegia Technologies (Physx).cer,Ageia Technologies Inc.,Gaming
11 bit studios.cer,11 BIT STUDIOS S.A.,Gaming
World Of Tanks.cer,Wargaming.net Limited,Gaming
Sky Mavis Vietnam Company Limited.cer,Sky Mavis Vietnam Company Limited,Gaming
"Even Balance, Inc..cer",Even Balance,Gaming
mid.gg - overwolf ltd.cer,Overwolf Ltd,Gaming
CapCom.cer,CAPCOM CO.,Gaming
Epic games.cer,Epic Games Inc.,Gaming
Focus Home.cer,Focus Home Interactive S.A,Gaming
"Guillemot Recherche et Développement, Inc - Thrustmaster - September 2024.cer",Guillemot Recherche et Développement,Gaming
株式会社セガ.cer,株式会社セガ,Gaming
GOG.cer,GOG Sp. z o.o.,Gaming
Jagex - Runescape.cer,Jagex Limited,Gaming
DENUVO GmbH - AntiCheat.cer,DENUVO GmbH,Gaming
WeMod.cer,WeMod LLC,Gaming
EasyAntiCheat 2026.cer,EasyAntiCheat Oy,Gaming
gearbox.cer,Gearbox Software,Gaming
Square Enix.cer,Square Enix LTD,Gaming
"Obsidian Entertainment, Inc.cer",Obsidian Entertainment,Gaming
Runic games.cer,Runic Games,Gaming
roblox 19th july.cer,Roblox Corporation,Gaming
Riot Games.cer,Riot Games,Gaming
TILauncher.exe.cer,TLauncher Inc.,Gaming
Rockstar Games.cer,Rockstar Games,Gaming
Ubisoft.cer,Ubisoft Entertainment Sweden AB,Gaming
Bethesda Games.cer,Bethesda Softworks LLC,Gaming
VoiceAttack.cer,VoiceAttack.com,Gaming
Thomas Alexander Henne - RuneLite - November 2025.cer,Thomas Alexander Henne,Gaming
Valve Corp. 2027.cer,Valve Corp.,Gaming
Ubisoft  Entertainment.cer,UBISOFT ENTERTAINMENT INC.,Gaming
SABER INTERAKTIV SGS OOO - Insurgency.cer,SABER INTERAKTIV SGS OOO,Gaming
Cheat Engine.cer,EngineGame,Gaming
Cognosphere.cer,COGNOSPHERE PTE. LTD.,Gaming
RocketLeague - Psyonix.cer,Psyonix,Gaming
EA Games.cer,Electronic Arts,Gaming
Travellers Tale.cer,Travellers Tales (UK) Ltd,Gaming
Square Enix Co.cer,SQUARE ENIX CO.,Gaming
Blizzard (Battlenet).cer,Blizzard Entertainment,Gaming
,"Activision Publishing, Inc.",Gaming
,Arrowhead Game Studios AB,Gaming
,CD PROJEKT S.A.,Gaming
,ConcernedApe,Gaming
,Electronic Arts Inc.,Gaming
,Electronic Arts Switzerland Sàrl,Gaming
,"Epic Games, Inc.",Gaming
,"FromSoftware, Inc.",Gaming
,Larian Studios,Gaming
,Microsoft Corporation,Gaming
,Mojang AB,Gaming
,"Riot Games, Inc.",Gaming
,"Rockstar Games, Inc.",Gaming
,Valve Corporation,Gaming
,WB Games Inc.,Gaming
Tixati - Torrent.cer,Tixati Software Inc.,Piracy
Bigly - Torrent.cer,Bigly Software,Piracy
RapidSeedbox Ltd - WizTorrents.cer,RapidSeedbox Ltd,Piracy
MediaGet - Globlal microtrading.cer,Global Microtrading PTE. LTD,Piracy
utorrent bitorrent cert.cer,Rainberry Inc,Piracy
Vuze - Azureus.cer,Azureus Software,Piracy
ShareIT.cer,SHAREit Technologies Co.Ltd,Piracy
limewire.cer,Lime Wire LLC,Piracy
"Musiclab, LLC - Bearshare.cer",Musiclab,Piracy
Transmission Torrent Client - SignPath Foundation.cer,SignPath Foundation,Piracy
Softdeluxe LLC - Free Download Manager.cer,Softdeluxe LLC,Piracy
FrostWire LLC.cer,FrostWire LLC,Piracy
"Open Source Developer, Arron Mogge - bigly Torrents.cer",Open Source Developer,Piracy
BitTorrent Inc utorrent - May 2027.cer,BitTorrent Inc,Piracy
